segment,x,y,index
chamber_wall,-116.97318003004338,46.70399962543358,57
chamber_wall,-118.30471860075663,46.70399962543358,58
chamber_wall,-119.6362571714699,46.70399962543358,59
chamber_wall,-120.96779574218314,46.70399962543358,60
chamber_wall,-122.29933431289639,46.70399962543358,61
chamber_wall,-123.63087288360965,46.70399962543358,62
chamber_wall,-124.9624114543229,46.70399962543358,63
chamber_wall,-126.29395002503615,46.70399962543358,64
chamber_wall,-127.6254885957494,46.70399962543358,65
chamber_wall,-128.95702716646264,46.70399962543358,66
chamber_wall,-130.28856573717593,46.70399962543358,67
chamber_wall,-131.62010430788916,46.70399962543358,68
chamber_wall,-132.9516428786024,46.70399962543358,69
chamber_wall,-134.2831814493157,46.70399962543358,70
chamber_wall,-135.61472002002893,46.70399962543358,71
chamber_wall,-136.94625859074216,46.70399962543358,72
chamber_wall,-138.27779716145542,46.70399962543358,73
chamber_wall,-139.6093357321687,46.70399962543358,74
chamber_wall,-140.94087430288192,46.70399962543358,75
chamber_wall,-142.2724128735952,46.70399962543358,76
chamber_wall,-143.60395144430845,46.70399962543358,77
chamber_wall,-144.93549001502168,46.70399962543358,78
chamber_wall,-146.26702858573495,46.70399962543358,79
chamber_wall,-147.5985671564482,46.70399962543358,80
chamber_wall,-148.93010572716145,46.70399962543358,81
chamber_wall,-150.26164429787468,46.70399962543358,82
chamber_wall,-151.59318286858797,46.70399962543358,83
chamber_wall,-152.9247214393012,46.70399962543358,84
chamber_wall,-154.25626001001444,46.70399962543358,85
chamber_wall,-155.58779858072774,46.70399962543358,86
chamber_wall,-156.91933715144097,46.70399962543358,87
chamber_wall,-158.2508757221542,46.70399962543358,88
chamber_wall,-159.58241429286747,46.70399962543358,89
chamber_wall,-160.91395286358073,46.70399962543358,90
chamber_wall,-162.24549143429397,46.70399962543358,91
chamber_wall,-163.57703000500723,46.70399962543358,92
chamber_wall,-164.9085685757205,46.70399962543358,93
chamber_wall,-166.24010714643373,46.70399962543358,94
chamber_wall,-167.571645717147,46.70399962543358,95
chamber_wall,-168.90318428786026,46.70399962543358,96
chamber_wall,-170.2347228585735,46.70399962543358,97
chamber_wall,-171.56626142928673,46.70399962543358,98
chamber_wall,-172.8978,46.70399962543358,99
convergent_arc,-34.05897228297435,43.797666347479236,0
convergent_arc,-34.11485667492369,43.85310914031216,1
convergent_arc,-34.171179148784915,43.90810684461711,2
convergent_arc,-34.227936159781834,43.96265599899513,3
convergent_arc,-34.28512413578976,44.01675317027773,4
convergent_arc,-34.342739477560265,44.070394953742955,5
convergent_arc,-34.40077855894775,44.123577973329645,6
convergent_arc,-34.45923772713766,44.176298881849945,7
convergent_arc,-34.51811330287636,44.228554361199954,8
convergent_arc,-34.577401580702706,44.28034112256855,9
convergent_arc,-34.63709882918127,44.33165590664439,10
convergent_arc,-34.697201291137176,44.38249548382105,11
convergent_arc,-34.75770518389255,44.43285665440026,12
convergent_arc,-34.81860669950462,44.48273624879331,13
convergent_arc,-34.87990200500536,44.532131127720504,14
convergent_arc,-34.94158724264273,44.5810381824088,15
convergent_arc,-35.003658530123474,44.62945433478737,16
convergent_arc,-35.06611196085745,44.67737653768142,17
convergent_arc,-35.128943604203506,44.72480177500392,18
convergent_arc,-35.192149505716884,44.771727061945434,19
convergent_arc,-35.255725687398055,44.81814944516199,20
convergent_arc,-35.31966814794313,44.864066002960925,21
convergent_arc,-35.38397286299568,44.90947384548481,22
convergent_arc,-35.44863578539996,44.954370114893294,23
convergent_arc,-35.51365284545574,44.99875198554298,24
convergent_arc,-35.57901995117432,45.04261666416528,25
convergent_arc,-35.644732988536155,45.085961390042186,26
convergent_arc,-35.71078782174974,45.12878343518003,27
convergent_arc,-35.7771802935119,45.171080104481206,28
convergent_arc,-35.843906225269464,45.212848735913745,29
convergent_arc,-35.91096141748223,45.25408670067888,30
convergent_arc,-35.978341649887284,45.294791403376514,31
convergent_arc,-36.04604268176462,45.334960282168524,32
convergent_arc,-36.11406025220399,45.37459080894002,33
convergent_arc,-36.18239008037316,45.413680489458464,34
convergent_arc,-36.251027865787236,45.452226863530655,35
convergent_arc,-36.31996928857941,45.49022750515752,36
convergent_arc,-36.38921000977277,45.52768002268685,37
convergent_arc,-36.45874567155344,45.56458205896382,38
convergent_arc,-36.5285718975448,45.600931291479306,39
